start,finish,label,sub
2021:10:08 14:51:57,2021:10:08 14:52:23,Upstairs,3
2021:10:08 14:52:23,2021:10:08 14:52:46,Downstairs,3
2021:10:08 14:52:46,2021:10:08 14:53:15,Upstairs,3
2021:10:08 14:53:15,2021:10:08 14:53:42,Downstairs,3
2021:10:08 14:53:42,2021:10:08 14:54:14,Upstairs,3
2021:10:08 14:54:14,2021:10:08 14:54:40,Downstairs,3
2021:10:08 14:54:40,2021:10:08 14:55:11,Upstairs,3
2021:10:08 14:55:11,2021:10:08 14:55:40,Downstairs,3
2021:10:08 14:55:40,2021:10:08 14:56:13,Upstairs,3
2021:10:08 14:56:13,2021:10:08 14:56:40,Downstairs,3
2021:10:08 14:56:40,2021:10:08 14:57:09,Upstairs,3
2021:10:08 14:57:09,2021:10:08 14:57:37,Downstairs,3
2021:10:08 14:57:37,2021:10:08 14:58:09,Upstairs,3
2021:10:08 14:58:09,2021:10:08 14:58:36,Downstairs,3
